ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Appley Park Public Convenience,OSGB36,460630,92354,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Car Park Public Convenience,OSGB36,459817,84266,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Carisbrooke Car Park Public Convenience,OSGB36,448657,88167,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Chine Bluff Public Convenience,OSGB36,458548,81099,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Colwell Beach Public Convenience,OSGB36,432738,87799,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Compton Bay Public Convenience,OSGB36,437838,84092,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Cowes Parade Public Convenience,OSGB36,449515,96430,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Eastern Esplanade Public Convenience A,OSGB36,459915,92741,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Eastern Esplanade Public Convenience B,OSGB36,456371,77371,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Eastern Gardens Public Convenience,OSGB36,460208,84383,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Falcon Cross Public Convenience,OSGB36,458149,81596,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Gate Lane Public Convenience,OSGB36,434515,85795,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Godshill Public Convenience,OSGB36,453043,81681,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Gurnard Public Convenience,OSGB36,447764,95896,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Lake Slipway Public Convenience,OSGB36,459281,83430,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Lind Street Public Convenience,OSGB36,459088,92621,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Marlborough Road Public Convenience,OSGB36,456299,77606,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Medina Road Public Convenience,OSGB36,449967,95668,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Moa Place Public Convenience,OSGB36,433769,87058,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Mornington Road Public Convenience,OSGB36,448935,96576,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Osborne Road Public Convenience,OSGB36,450351,95520,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Pier Street Public Convenience,OSGB36,459625,83878,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Post Office Lane Public Convenience,OSGB36,449746,89146,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Puckpool Park Public Convenience,OSGB36,461535,92114,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Ryde Esplanade Public Convenience,OSGB36,459355,92941,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Rylstone Gardens Public Convenience,OSGB36,458372,80920,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Sandham Grounds Public Convenience,OSGB36,460420,84573,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Seaclose Park Public Convenience,OSGB36,450343,89870,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Seagrove Bay Public Convenience,OSGB36,463185,90852,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Shanklin Esplanade Public Convenience,OSGB36,458765,81846,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,South Street Public Convenience,OSGB36,449999,89006,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,St Johns Road Public Convenience,OSGB36,459190,92156,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,The Cut Public Convenience,OSGB36,449579,95999,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,The Duver Public Convenience,OSGB36,463702,89330,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Totland Beach Public Convenience,OSGB36,432290,87093,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Tower Cottage Gardens Public Convenience,OSGB36,458297,81071,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Ventnor Park,OSGB36,455646,77260,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yarmouth Common Public Convenience,OSGB36,435790,89750,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yarmouth Public Convenience,OSGB36,435379,89678,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yaverland Public Convenience,OSGB36,461148,85014,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
